Unit,UnitGroup,FrequencyGroup,FrequencyRate,ExchangeRate,ConversionRate
BMD Million,USD,NA,1,1000000,1000000
AUD Million,USD,NA,1,634890,634890
ZMW Million,USD,NA,1,46146.74665,46146.74665
XPF Million,USD,NA,1,8971.828459,8971.828459
DKK Million,USD,NA,1,143007.096,143007.096
XAF Billion,USD,NA,1,1627100.994,1627100.994
AWG Million,USD,NA,1,561797.7528,561797.7528
MWK Million,USD,NA,1,884.6660828,884.6660828
LYD Million,USD,NA,1,204628.7012,204628.7012
BGN Million,USD,NA,1,550000,550000
BTN Million,USD,NA,1,12029.20691,12029.20691
XOF Million,USD,NA,1,1625.355547,1625.355547
MAD Million,USD,NA,1,97028.0314,97028.0314
BBD Thousand,USD,NA,1,500.4754517,500.4754517
MGA Million,USD,NA,1,224.2152466,224.2152466
DKK Thousand,USD,NA,1,143.007096,143.007096
DJF Million,USD,NA,1,5632.216277,5632.216277
KHR Billion,USD,NA,1,242365.4872,242365.4872
BIF Million,USD,NA,1,354.2230472,354.2230472
TND Million,USD,NA,1,317571.2153,317571.2153
NGN Million,USD,NA,1,1132.502831,1132.502831
BSD Million,USD,NA,1,1000000,1000000
NPR Million,USD,NA,1,7512.583577,7512.583577
LSL Million,USD,NA,1,52914.25245,52914.25245
GMD Thousands,USD,NA,1,15.17450683,15.17450683
OMR Million,USD,NA,1,2597402.597,2597402.597
XAF Million,USD,NA,1,1627.100994,1627.100994
FJD Thousand,USD,NA,1,431.3226509,431.3226509
CHF million,USD,NA,1,1122737.684,1122737.684
PGK Million,USD,NA,1,269291.3598,269291.3598
NAD Million,USD,NA,1,52859.71033,52859.71033
KES Million,USD,NA,1,6666.666667,6666.666667
JOD Thousands,USD,NA,1,1410,1410
BZD Thousands,USD,NA,1,500,500
EUR/SQ. METRE,EUR/SQ. METRE,NA,1,1,1
Index,Index,NA,1,1,1
PHP/SQ. METRE,PHP/SQ. METRE,NA,1,1,1
UZS Billion,USD,NA,1,81879.6958,81879.6958
NIO Million,USD,NA,1,27639.57988,27639.57988
GNF Billion,USD,NA,1,117702.4482,117702.4482
KRW Billion,USD,NA,1,744607.1825,744607.1825
RUB Billion,USD,NA,1,10582514.51,10582514.51
MDL Thousand,USD,NA,1,55.15263492,55.15263492
IRR Billion,USD,NA,1,23809.52381,23809.52381
INR Billion,USD,NA,1,12045000.12,12045000.12
