Country,Region,Improved_Drinking_Water_Access,Unimproved_Drinking_Water_Access,Improved_Sanitation_Access,Unimproved_Sanitation_Access,Urban_Population,Rural_Population,Population,Population_under_1yo,Population_under_15yo,Population_aged_15to64
Mexico,Central America,99.68,0.32,99.21,0.69,101719689,24278612,125998296,1942516,31923940,83967736
Moldova,,92.09,7.91,89.95,9.92,1129127,1506003,3084848,38977,606152,2066699
Mongolia,Eastern Asia,87.64,6.63,88.81,2.76,2261792,1032543,3294340,74465,1060842,2093147
Montenegro,Southern Europe,99.4,0.59,98.02,1.94,419307,201999,629058,7233,114526,414092
Morocco,Northern Africa,95.67,2.88,88.79,9.48,23309111,13379661,36688770,651302,9939594,24125460
Mozambique,Eastern Africa,73.35,16.73,42.18,37.08,11559020,19619220,31178242,1094882,13675861,16691704
Myanmar,South-eastern Asia,85.31,5.11,85.22,7.78,16636518,36786680,53423200,903680,13421837,36553348
Namibia,Southern Africa,91.36,3.74,48.06,4.78,1295152,1193946,2489099,67778,901143,1487576
Nepal,Southern Asia,94.05,4.7,87.66,2.55,6038773,23309854,29348626,591159,8838598,18737430
Netherlands,Western Europe,100,0,100,0,16087342,1354158,17434562,171419,2719836,11289345
New Caledonia,Melanesia,99.31,0.69,100,0,193907,77223.01,286412,4180,65107,191572
New Zealand,Australia and New Zealand,100,0,100,0,4413152,677048,5061130,61790,965064,3307625
Nicaragua,Central America,83.22,13.53,80.27,12.94,3986789,2769106,6755900,139789,2053936,4360223
Niger,Western Africa,68.57,27.03,24.83,7.06,4045711,20287928,24333644,1053196,11910940,11830026
Nigeria,Western Africa,82.59,11.8,62.26,19.08,108242753,100084660,208327410,7322673,90626350,111445960
North Korea,,94.53,5.21,85.29,14.71,16136385,9731082,25867474,341966,4918276,18077662
Norway,Northern Europe,100,0,100,0,4463566,915909,5379836,53986,925934,3500060
Oman,Western Asia,99.71,0.26,100,0,3919863,623536,4543406,81705,1165087,3253084
Pakistan,Southern Asia,93.97,4.41,78.93,13.77,84437669,142759070,227196740,6061815,84681630,133031510
Palau,Micronesia,99.66,0.34,99.62,0.38,14555,3417,17999,274,3757,12586
Palestine,,98.91,1.09,99.62,0.24,3685020,1118249,5019407,142695,1981500,2865623
Panama,Central America,96.25,2.26,87.16,8.65,2937968,1356428,4294391,76183,1145692,2789527
Papua New Guinea,Melanesia,47.47,22.16,23.5,60.37,1301089,8448551,9749641,244984,3404273,6049600
Paraguay,South America,100,0,96.19,3.47,4115703,2502992,6618700,136894,1933131,4277707
Peru,South America,93.99,4.15,87.43,8.17,26076625,7228131,33304768,588437,8884004,21672276
Philippines,South-eastern Asia,96.97,3.03,93.38,2.84,53187498,59003480,112190984,2415213,34713210,71618950
Poland,Eastern Europe,99.97,0.03,100,0,22755739,15143331,38428370,364548,5897987,25469538
Portugal,Southern Europe,99.91,0.09,99.94,0.06,6827994,3469087,10298186,85722,1389809,6612220
Qatar,Western Asia,99.57,0.43,100,0,2739268,21117,2760390,29864,423764,2301956
Republic of the Congo,,,,,,,,,,,
Romania,Eastern Europe,100,0,87.33,12.67,10440610,8824640,19442040,200445,3114248,12694870
Russia,,97.61,2.39,89.39,10.61,107700434,36372704,145617330,1462500,25745824,97583220
Rwanda,Eastern Africa,82.74,13.15,84.22,13.81,2291674,10854688,13146367,386430,5170050,7568501
Samoa,Polynesia,98.36,1.42,99.46,0.39,38449,176480,214934,5860,81511,122638
San Marino,Southern Europe,100,0,100,0,33156,851,34038,209,4555,22773
Sao Tome and Principe,,,,,,,,,,,
Saudi Arabia,Western Asia,100,0,100,0,30340882,5656225,35997108,653125,9374031,25760354
Senegal,Western Africa,87.29,12.61,74.07,14.68,7909390,8526730,16436120,527272,6913872,9000708
Serbia,Southern Europe,99.54,0.44,97.9,2.07,3894281,3004845,7358010,68857,1039663,4791950
Seychelles,Eastern Africa,,,100,0,56661,41801,105545,1670,24523,72951
Sierra Leone,Western Africa,72.79,15.56,54.43,29.18,3534267,4699703,8233973,248589,3275899,4698937
Singapore,South-eastern Asia,100,0,100,0,5685807,0,5909874,48227,718155,4414320
Slovakia,Eastern Europe,100,0,99.95,0.05,2934665,2524162,5456681,56705,864445,3674193
Slovenia,Southern Europe,99.5,0.5,98.98,1.02,1158811,943608,2117648,19685,321937,1370042
Solomon Islands,Melanesia,73.1,21.27,40.61,14.6,170517,520674,691198,20526,273518,393739
Somalia,Eastern Africa,84.18,13.42,56.23,20.65,7630345,8906671,16537018,681262,7828577,8275858
South Africa,Southern Africa,96.66,1.41,93.24,6.54,39605450,19196476,58801930,1189889,16899480,38374016
South Korea,,99.93,0.07,99.94,0.06,42201956,9634283,51844690,301375,6307638,37330520
South Sudan,Eastern Africa,78.38,13.54,24.58,15.3,2142352,8463875,10606224,291394,4825570,5483613
Spain,Southern Europe,99.93,0.07,99.98,0.02,38276186,9089469,47363810,350467,6818321,31227836
Sri Lanka,Southern Asia,92.82,5.35,97.63,2.37,4101702,17817298,21715076,309418,5121982,14247218
St Kitts and Nevis,,,,,,,,,,,
St Vincent and the Grenadines,,,,,,,,,,,
Sudan,Northern Africa,87.12,3.65,45.26,30.73,15666605,28773880,44440484,1462374,18299546,24657520
Suriname,South America,99.06,0.38,96.04,2.74,401567,205498,607068,10918,162499,401372
Swaziland,,,,,,,,,,,
Sweden,Northern Europe,99.83,0.17,99.99,0.01,9108648,1244794,10368968,114457,1839983,6451814
Switzerland,Western Europe,100,0,100,0,6384901,2253266,8638609,84472,1300952,5720006
Syria,,99.8,0.2,99.5,0.5,11523597,9248998,20772602,390363,7160124,12667078
Tajikistan,Central Asia,84.42,3.42,99.37,0.63,2624955,6918252,9543211,256958,3482735,5751639
Tanzania,,72.01,14.52,50.42,38.68,21736651,39967868,61704520,2175841,27074322,32700276
Thailand,South-eastern Asia,100,0,99.97,0.03,36759934,34715730,71475660,658324,11483264,50092756
Togo,Western Africa,74.65,14.16,45.5,9.35,3613424,4829156,8442583,261142,3419062,4765332
Tonga,Polynesia,99.61,0.39,98.93,1.06,24313,80941,105265,2435,36915,61835
Trinidad and Tobago,,,,,,,,,,,
Tunisia,Northern Africa,99.17,0.83,98.97,1.03,8460667,3701056,12161720,202332,3034358,8084071
Turkey,Western Asia,99.04,0.74,99.57,0.27,64031267,20104160,84135430,1272525,19949402,57301988
Turkmenistan,Central Asia,100,0,99.82,0.18,3282480,2967958,6250442,136395,1952179,4003504
Uganda,Eastern Africa,83.14,12.17,37.41,57.91,11080727,33323884,44404610,1591577,20279636,23385718
Ukraine,Eastern Europe,99.6,0.08,100,0,30719437,13412612,43909664,344520,6730137,29631432
United Arab Emirates,Western Asia,99.97,0.03,100,0,8084399,1202890,9287286,98049,1387613,7746063
United Kingdom,,100,0,99.83,0.17,56282971,10798029,67059470,695204,11928773,42575480
Uruguay,South America,100,0,99.24,0.54,3275291,153795,3429087,36089,678850,2224279
Uzbekistan,Central Asia,97.83,0.22,100,0,17258430,16973620,33526662,807657,9980918,21913822
Vanuatu,Melanesia,92.29,0,68.24,31.46,79558,232127,311694,9123,123919,176197
Venezuela,,94.16,5.84,95.76,1.22,25151087,3339366,28490458,462991,8115290,18097542
Vietnam,,96.88,3.12,93.25,3.81,36088619,60560064,96648680,1471822,21932616,66571090
World,,93.72,4.71,85.75,7.91,4383714769,3435444000,7840953000,133345180,2013738800,5087737000
Yemen,Western Asia,89.63,7.78,59.09,31.17,12238236,20045810,32284044,967706,12974604,18431832
Zambia,Eastern Africa,71.57,21.58,51.7,37.05,8447250,10480465,18927716,633795,8267698,10332594
Zimbabwe,Eastern Africa,76.86,16.28,65.43,11.07,5052214,10617452,15669663,470340,6449021,8691594
